0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,1,＃,＃,2
＃,＃,＃,＃,＃,6,＃,＃,＃,＃,＃,4,＃,＃,6
6.0,＃,＃,＃,＃,1,6,＃,＃,＃,＃,6,1,6,＃
＃,＃,＃,＃,6,4,＃,＃,＃,＃,＃,2,＃,2,＃
＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,2,＃,＃
＃,＃,＃,＃,＃,＃,＃,6,＃,4,＃,6,＃,＃,＃
＃,＃,6,＃,＃,＃,＃,＃,＃,6,＃,＃,＃,＃,＃
6.0,6.0,＃,6,＃,6,6,＃,＃,2,＃,＃,6,6,＃
＃,＃,＃,＃,6,＃,＃,6,＃,＃,＃,＃,1,2,6
6.0,6.0,6.0,＃,＃,7,＃,1,6,＃,＃,＃,＃,＃,＃
＃,＃,＃,6,6,＃,6,6,＃,5,＃,6,＃,＃,6
6.0,6.0,6.0,＃,＃,5,＃,＃,＃,2,＃,＃,＃,6,＃
＃,＃,＃,6,4,＃,＃,6,6,＃,＃,＃,＃,＃,＃
6.0,＃,＃,＃,7,＃,6,＃,＃,＃,＃,6,＃,＃,6
＃,6,6,＃,＃,7,＃,5,＃,6,＃,＃,＃,＃,＃
＃,＃,＃,6,6,＃,6,＃,＃,＃,＃,＃,＃,＃,＃
6.0,6.0,6.0,＃,＃,4,＃,＃,6,＃,＃,＃,6,＃,6
＃,＃,＃,6,＃,7,＃,1,＃,＃,＃,6,＃,＃,＃
＃,＃,＃,＃,6,4,6,5,＃,＃,＃,＃,＃,＃,＃
6.0,6.0,6.0,＃,＃,7,＃,1,＃,＃,＃,＃,＃,＃,6
＃,＃,＃,＃,＃,＃,＃,＃,6,＃,＃,6,＃,＃,＃
＃,＃,＃,6,6,＃,6,6,＃,2,＃,＃,＃,＃,＃
6.0,6.0,6.0,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,6,＃,＃,＃,6,＃,1,1,＃,6
＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,6,＃,＃,6,＃,＃,＃,＃,＃,＃,＃
6.0,＃,6,＃,＃,＃,6,＃,6,4,＃,6,＃,＃,＃
＃,6,＃,6,＃,6,＃,＃,＃,＃,＃,4,6,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,6
＃,＃,＃,＃,6,＃,＃,＃,6,＃,＃,＃,＃,＃,＃
6.0,6.0,6.0,＃,＃,＃,6,6,＃,＃,＃,6,2,＃,＃
＃,＃,＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,6,4,＃,＃,＃,＃,＃,＃,＃,＃,＃,6
＃,＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,6,＃,＃
6.0,6.0,6.0,＃,＃,＃,6,6,6,＃,6,6,＃,＃,＃
＃,＃,＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,6
＃,＃,＃,＃,6,＃,＃,＃,6,＃,＃,6,＃,＃,＃
6.0,＃,6,＃,＃,＃,＃,6,＃,＃,2,＃,＃,＃,＃
＃,6,＃,＃,＃,6,6,4,＃,＃,＃,＃,＃,＃,＃
